kind,indicator,status,reason,first_seen
origin,170.187.131.209,candidate,non-CF shared/unknown (100 apex on IP) - review,2026-06-18T13:06:35Z
origin,185.3.93.228,candidate,non-CF shared/unknown (100 apex on IP) - review,2026-06-18T13:06:35Z
origin,192.250.229.176,candidate,non-CF shared/unknown (19 apex on IP) - review,2026-06-18T13:06:35Z
apex,pay-flow.cfd,promoted,kit-fingerprint confirmed,2026-07-02T19:13:21Z
apex,lnvoicel-47293.com,promoted,kit-fingerprint confirmed,2026-07-10T02:10:11Z
origin,196.251.107.209,promoted,non-CF dedicated (0 apex on IP),2026-07-13T19:15:24Z
origin,104.41.191.220,promoted,non-CF dedicated (0 apex on IP),2026-09-10T02:23:56Z
origin,72.143.72.16,promoted,non-CF dedicated (0 apex on IP),2026-09-10T02:23:56Z
apex,autonocion.com,promoted,kit-fingerprint confirmed,2026-09-18T02:30:43Z
origin,172.234.220.54,candidate,non-CF shared/unknown (45 apex on IP) - review,2026-09-18T02:30:43Z
origin,172.238.172.53,candidate,non-CF shared/unknown (51 apex on IP) - review,2026-09-18T02:30:43Z
origin,172.239.43.14,candidate,non-CF shared/unknown (41 apex on IP) - review,2026-09-18T02:30:43Z
origin,45.79.222.138,candidate,non-CF shared/unknown (99 apex on IP) - review,2026-09-18T02:30:43Z
origin,103.224.182.238,candidate,non-CF shared/unknown (54 apex on IP) - review,2026-09-18T10:19:22Z
origin,103.224.182.242,candidate,non-CF shared/unknown (73 apex on IP) - review,2026-09-18T10:19:22Z
origin,103.224.182.243,candidate,non-CF shared/unknown (52 apex on IP) - review,2026-09-18T10:19:22Z
origin,103.224.182.246,candidate,non-CF shared/unknown (42 apex on IP) - review,2026-09-18T10:19:22Z
origin,103.224.182.251,candidate,non-CF shared/unknown (54 apex on IP) - review,2026-09-18T10:19:22Z
origin,103.224.182.252,candidate,non-CF shared/unknown (76 apex on IP) - review,2026-09-18T10:19:22Z
origin,103.224.182.253,candidate,non-CF shared/unknown (50 apex on IP) - review,2026-09-18T10:19:22Z
origin,127.0.0.1,candidate,non-CF shared/unknown (63 apex on IP) - review,2026-09-18T10:19:22Z
origin,13.223.25.84,promoted,non-CF dedicated (0 apex on IP),2026-09-18T10:19:22Z
origin,157.90.33.73,candidate,non-CF shared/unknown (59 apex on IP) - review,2026-09-18T10:19:22Z
origin,157.90.33.74,candidate,non-CF shared/unknown (66 apex on IP) - review,2026-09-18T10:19:22Z
origin,172.232.31.114,candidate,non-CF shared/unknown (40 apex on IP) - review,2026-09-18T10:19:22Z
origin,172.233.212.129,candidate,non-CF shared/unknown (86 apex on IP) - review,2026-09-18T10:19:22Z
origin,172.233.212.151,candidate,non-CF shared/unknown (92 apex on IP) - review,2026-09-18T10:19:22Z
origin,172.233.212.224,candidate,non-CF shared/unknown (92 apex on IP) - review,2026-09-18T10:19:22Z
origin,172.233.212.90,candidate,non-CF shared/unknown (90 apex on IP) - review,2026-09-18T10:19:22Z
origin,172.234.218.95,candidate,non-CF shared/unknown (67 apex on IP) - review,2026-09-18T10:19:22Z
origin,172.234.24.152,candidate,non-CF shared/unknown (63 apex on IP) - review,2026-09-18T10:19:22Z
origin,172.234.24.173,candidate,non-CF shared/unknown (74 apex on IP) - review,2026-09-18T10:19:22Z
origin,172.234.26.134,candidate,non-CF shared/unknown (31 apex on IP) - review,2026-09-18T10:19:22Z
origin,172.234.27.37,candidate,non-CF shared/unknown (77 apex on IP) - review,2026-09-18T10:19:22Z
origin,172.234.27.71,candidate,non-CF shared/unknown (67 apex on IP) - review,2026-09-18T10:19:22Z
origin,172.234.31.13,candidate,non-CF shared/unknown (82 apex on IP) - review,2026-09-18T10:19:22Z
origin,172.236.100.134,candidate,non-CF shared/unknown (61 apex on IP) - review,2026-09-18T10:19:22Z
origin,172.236.108.16,candidate,non-CF shared/unknown (38 apex on IP) - review,2026-09-18T10:19:22Z
origin,172.236.114.191,candidate,non-CF shared/unknown (36 apex on IP) - review,2026-09-18T10:19:22Z
origin,172.236.114.56,candidate,non-CF shared/unknown (78 apex on IP) - review,2026-09-18T10:19:22Z
origin,172.236.116.61,candidate,non-CF shared/unknown (84 apex on IP) - review,2026-09-18T10:19:22Z
origin,172.237.146.18,candidate,non-CF shared/unknown (84 apex on IP) - review,2026-09-18T10:19:22Z
origin,172.237.146.39,candidate,non-CF shared/unknown (84 apex on IP) - review,2026-09-18T10:19:22Z
origin,172.237.146.46,candidate,non-CF shared/unknown (83 apex on IP) - review,2026-09-18T10:19:22Z
origin,172.237.146.49,candidate,non-CF shared/unknown (92 apex on IP) - review,2026-09-18T10:19:22Z
origin,172.237.159.40,candidate,non-CF shared/unknown (78 apex on IP) - review,2026-09-18T10:19:22Z
